Release 14.7 - par P.20131013 (nt64)
Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

Mon Sep 14 00:52:31 2020


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       large_multiplier_wrapper_map.ncd
OUTPUT FILE:      large_multiplier_wrapper_pad.txt
PART TYPE:        xc6vlx75t
SPEED GRADE:      -3
PACKAGE:          ff784

Pinout by Pin Number:

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name|Pin Usage|Pin Name                  |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
|J5        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|J6        |           |         |VBATT_0                   |         |           |              |          |         |           |         |         |          |           |                |
|J7        |in0<41>    |IOB      |IO_L17P_36                |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|J8        |in0<42>    |IOB      |IO_L17N_36                |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|J9        |           |         |VCCO_36                   |         |           |36            |          |         |           |         |2.50     |          |           |                |
|J10       |in0<40>    |IOB      |IO_L16N_36                |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|J11       |in0<39>    |IOB      |IO_L16P_36                |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|J12       |in0<29>    |IOB      |IO_L11P_SRCC_36           |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|J13       |in0<16>    |IOB      |IO_L4N_VREF_36            |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|J14       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|J15       |           |IOBM     |IO_L8P_SRCC_26            |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|J16       |           |IOBM     |IO_L4P_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|J17       |in1<44>    |IOB      |IO_L2P_25                 |INPUT    |LVCMOS25*  |25            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|J18       |in1<45>    |IOB      |IO_L2N_25                 |INPUT    |LVCMOS25*  |25            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|J19       |           |         |VCCO_25                   |         |           |25            |          |         |           |         |2.50     |          |           |                |
|J20       |outp<4>    |IOB      |IO_L14N_VREF_25           |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|J21       |           |IOBM     |IO_L8P_SRCC_16            |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|J22       |           |IOBS     |IO_L8N_SRCC_16            |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|J23       |in1<5>     |IOB      |IO_L2N_SM8N_15            |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|J24       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|J25       |in1<11>    |IOB      |IO_L5N_SM10N_15           |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|J26       |in1<6>     |IOB      |IO_L3P_SM9P_15            |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|J27       |in1<7>     |IOB      |IO_L3N_SM9N_15            |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|J28       |in1<57>    |IOB      |IO_L7P_SM12P_15           |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|K1        |           |OPAD     |MGTTXP0_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|K2        |           |OPAD     |MGTTXN0_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|K3        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|K4        |           |         |MGTAVCC                   |         |           |              |          |         |           |         |         |          |           |                |
|K5        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|K6        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|K7        |in0<45>    |IOB      |IO_L19P_36                |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|K8        |           |         |VCCAUX                    |         |           |              |          |         |           |         |2.5      |          |           |                |
|K9        |in0<43>    |IOB      |IO_L18P_36                |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|K10       |in0<44>    |IOB      |IO_L18N_36                |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|K11       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|K12       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|K13       |in0<30>    |IOB      |IO_L11N_SRCC_36           |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|K14       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|K15       |           |IOBS     |IO_L8N_SRCC_26            |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|K16       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|K17       |in1<40>    |IOB      |IO_L0P_25                 |INPUT    |LVCMOS25*  |25            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|K18       |in1<41>    |IOB      |IO_L0N_25                 |INPUT    |LVCMOS25*  |25            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|K19       |outp<3>    |IOB      |IO_L14P_25                |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|K20       |           |         |VCCAUX                    |         |           |              |          |         |           |         |2.5      |          |           |                |
|K21       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|K22       |in1<0>     |IOB      |IO_L0P_15                 |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|K23       |in1<1>     |IOB      |IO_L0N_15                 |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|K24       |in1<4>     |IOB      |IO_L2P_SM8P_15            |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|K25       |in1<10>    |IOB      |IO_L5P_SM10P_15           |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|K26       |           |         |VCCO_15                   |         |           |15            |          |         |           |         |2.50     |          |           |                |
|K27       |in1<22>    |IOB      |IO_L9P_MRCC_15            |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|K28       |in1<59>    |IOB      |IO_L7N_SM12N_15           |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|L1        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|L2        |           |         |MGTAVTT                   |         |           |              |          |         |           |         |         |          |           |                |
|L3        |           |IPAD     |MGTRXP3_115               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|L4        |           |IPAD     |MGTRXN3_115               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|L5        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|L6        |           |         |DONE_0                    |         |           |              |          |         |           |         |         |          |           |                |
|L7        |in0<46>    |IOB      |IO_L19N_36                |INPUT    |LVCMOS25*  |36            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|L8        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|L9        |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|L10       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|L11       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|L12       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|L13       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|L14       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|L15       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|L16       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|L17       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|L18       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|L19       |           |         |VCCAUX                    |         |           |              |          |         |           |         |2.5      |          |           |                |
|L20       |in1<8>     |IOB      |IO_L4P_15                 |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|L21       |in1<63>    |IOB      |IO_L8P_SRCC_15            |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|L22       |in1<62>    |IOB      |IO_L8N_SRCC_15            |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|L23       |           |         |VCCO_15                   |         |           |15            |          |         |           |         |2.50     |          |           |                |
|L24       |in1<28>    |IOB      |IO_L14P_15                |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|L25       |in1<29>    |IOB      |IO_L14N_VREF_15           |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|L26       |in1<23>    |IOB      |IO_L9N_MRCC_15            |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|L27       |in1<16>    |IOB      |IO_L12N_SM13N_15          |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|L28       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|M1        |           |OPAD     |MGTTXP3_115               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|M2        |           |OPAD     |MGTTXN3_115               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|M3        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|M4        |           |         |MGTAVCC                   |         |           |              |          |         |           |         |         |          |           |                |
|M5        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|M6        |           |         |INIT_B_0                  |         |           |              |          |         |           |         |         |          |           |                |
|M7        |           |         |PROGRAM_B_0               |         |           |              |          |         |           |         |         |          |           |                |
|M8        |           |         |VCCAUX                    |         |           |              |          |         |           |         |2.5      |          |           |                |
|M9        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|M10       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|M11       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|M12       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|M13       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|M14       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|M15       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|M16       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|M17       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|M18       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|M19       |in1<9>     |IOB      |IO_L4N_VREF_15            |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|M20       |           |         |VCCO_15                   |         |           |15            |          |         |           |         |2.50     |          |           |                |
|M21       |in1<25>    |IOB      |IO_L10N_MRCC_15           |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|M22       |in1<24>    |IOB      |IO_L10P_MRCC_15           |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|M23       |in1<61>    |IOB      |IO_L6P_SM11P_15           |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|M24       |in1<58>    |IOB      |IO_L6N_SM11N_15           |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|M25       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|M26       |in1<13>    |IOB      |IO_L11P_SRCC_15           |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|M27       |in1<12>    |IOB      |IO_L12P_SM13P_15          |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|M28       |in1<31>    |IOB      |IO_L15N_SM15N_15          |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|N1        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|N2        |           |         |MGTAVTT                   |         |           |              |          |         |           |         |         |          |           |                |
|N3        |           |IPAD     |MGTRXP2_115               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|N4        |           |IPAD     |MGTRXN2_115               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|N5        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|N6        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|N7        |           |         |HSWAPEN_0                 |         |           |              |          |         |           |         |         |          |           |                |
|N8        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|N9        |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|N10       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|N11       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|N12       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|N13       |           |         |AVSS_0                    |         |           |              |          |         |           |         |         |          |           |                |
|N14       |           |         |AVDD_0                    |         |           |              |          |         |           |         |         |          |           |                |
|N15       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|N16       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|N17       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|N18       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|N19       |           |         |VCCAUX                    |         |           |              |          |         |           |         |2.5      |          |           |                |
|N20       |in1<36>    |IOB      |IO_L18P_15                |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|N21       |in1<37>    |IOB      |IO_L18N_15                |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|N22       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|N23       |in1<38>    |IOB      |IO_L19P_15                |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|N24       |in1<32>    |IOB      |IO_L16P_VRN_15            |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|N25       |in1<33>    |IOB      |IO_L16N_VRP_15            |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|N26       |in1<14>    |IOB      |IO_L11N_SRCC_15           |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|N27       |           |         |VCCO_15                   |         |           |15            |          |         |           |         |2.50     |          |           |                |
|N28       |in1<30>    |IOB      |IO_L15P_SM15P_15          |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|P1        |           |OPAD     |MGTTXP2_115               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|P2        |           |OPAD     |MGTTXN2_115               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|P3        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|P4        |           |         |MGTAVCC                   |         |           |              |          |         |           |         |         |          |           |                |
|P5        |           |IPAD     |MGTREFCLK1N_115           |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|P6        |           |IPAD     |MGTREFCLK1P_115           |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|P7        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|P8        |           |         |VCCAUX                    |         |           |              |          |         |           |         |2.5      |          |           |                |
|P9        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|P10       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|P11       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|P12       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|P13       |           |         |VREFN_0                   |         |           |              |          |         |           |         |         |          |           |                |
|P14       |           |IPAD     |VP_0                      |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|P15       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|P16       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|P17       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|P18       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|P19       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|P20       |outp<124>  |IOB      |IO_L14N_VREF_14           |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|P21       |outp<111>  |IOB      |IO_L8P_SRCC_14            |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|P22       |outp<112>  |IOB      |IO_L8N_SRCC_14            |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|P23       |in1<39>    |IOB      |IO_L19N_15                |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|P24       |           |         |VCCO_15                   |         |           |15            |          |         |           |         |2.50     |          |           |                |
|P25       |in1<35>    |IOB      |IO_L17N_15                |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|P26       |in1<34>    |IOB      |IO_L17P_15                |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|P27       |in1<27>    |IOB      |IO_L13N_SM14N_15          |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|P28       |in1<15>    |IOB      |IO_L13P_SM14P_15          |INPUT    |LVCMOS25*  |15            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|R1        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|R2        |           |         |MGTAVTT                   |         |           |              |          |         |           |         |         |          |           |                |
|R3        |           |IPAD     |MGTRXP1_115               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|R4        |           |IPAD     |MGTRXN1_115               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|R5        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|R6        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|R7        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|R8        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|R9        |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|R10       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|R11       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|R12       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|R13       |           |IPAD     |VN_0                      |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|R14       |           |         |VREFP_0                   |         |           |              |          |         |           |         |         |          |           |                |
|R15       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|R16       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|R17       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|R18       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|R19       |           |         |VCCAUX                    |         |           |              |          |         |           |         |2.5      |          |           |                |
|R20       |outp<123>  |IOB      |IO_L14P_14                |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|R21       |           |         |VCCO_14                   |         |           |14            |          |         |           |         |2.50     |          |           |                |
|R22       |in0<3>     |IOB      |IO_L18P_14                |INPUT    |LVCMOS25*  |14            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|R23       |in0<4>     |IOB      |IO_L18N_14                |INPUT    |LVCMOS25*  |14            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|R24       |outp<119>  |IOB      |IO_L12P_VRN_14            |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|R25       |outp<120>  |IOB      |IO_L12N_VRP_14            |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|R26       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|R27       |outp<95>   |IOB      |IO_L0P_14                 |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|R28       |outp<96>   |IOB      |IO_L0N_14                 |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|T1        |           |OPAD     |MGTTXP1_115               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|T2        |           |OPAD     |MGTTXN1_115               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|T3        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|T4        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|T5        |           |IPAD     |MGTREFCLK0N_115           |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|T6        |           |IPAD     |MGTREFCLK0P_115           |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|T7        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|T8        |           |         |VCCAUX                    |         |           |              |          |         |           |         |2.5      |          |           |                |
|T9        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|T10       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|T11       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|T12       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|T13       |           |         |DXN_0                     |         |           |              |          |         |           |         |         |          |           |                |
|T14       |           |         |DXP_0                     |         |           |              |          |         |           |         |         |          |           |                |
|T15       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|T16       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|T17       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|T18       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|T19       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|T20       |           |         |VCCAUX                    |         |           |              |          |         |           |         |2.5      |          |           |                |
|T21       |in0<5>     |IOB      |IO_L19P_14                |INPUT    |LVCMOS25*  |14            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|T22       |in0<6>     |IOB      |IO_L19N_14                |INPUT    |LVCMOS25*  |14            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|T23       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|T24       |outp<125>  |IOB      |IO_L15P_14                |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|T25       |outp<126>  |IOB      |IO_L15N_14                |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|T26       |outp<116>  |IOB      |IO_L10N_MRCC_14           |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|T27       |outp<97>   |IOB      |IO_L1P_14                 |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|T28       |           |         |VCCO_14                   |         |           |14            |          |         |           |         |2.50     |          |           |                |
|U1        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|U2        |           |         |MGTAVTT                   |         |           |              |          |         |           |         |         |          |           |                |
|U3        |           |IPAD     |MGTRXP0_115               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|U4        |           |IPAD     |MGTRXN0_115               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|U5        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|U6        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|U7        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|U8        |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|U9        |           |         |VCCAUX                    |         |           |              |          |         |           |         |2.5      |          |           |                |
|U10       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|U11       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|U12       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|U13       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|U14       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|U15       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|U16       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|U17       |           |         |VCCINT                    |         |           |              |          |         |           |         |1.0      |          |           |                |
|U18       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|U19       |           |         |VCCAUX                    |         |           |              |          |         |           |         |2.5      |          |           |                |
|U20       |           |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|U21       |in0<2>     |IOB      |IO_L17N_14                |INPUT    |LVCMOS25*  |14            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|U22       |in0<1>     |IOB      |IO_L17P_14                |INPUT    |LVCMOS25*  |14            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|U23       |outp<118>  |IOB      |IO_L11N_SRCC_14           |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|U24       |in0<0>     |IOB      |IO_L16N_14                |INPUT    |LVCMOS25*  |14            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|U25       |           |         |VCCO_14                   |         |           |14            |          |         |           |         |2.50     |          |           |                |
|U26       |outp<115>  |IOB      |IO_L10P_MRCC_14           |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|U27       |outp<98>   |IOB      |IO_L1N_14                 |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|U28       |outp<100>  |IOB      |IO_L2N_14                 |OUTPUT   |LVCMOS25*  |14            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|V1        |           |OPAD     |MGTTXP0_115               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
